word,avg_green,avg_yellow,avg_grey,entropy,avg_green_scaled,avg_yellow_scaled,avg_grey_scaled,entropy_scaled,TYPE,GREEN,YELLOW,GREY,ENTROPY
dixie,0.35,0.7,3.96,4.03,0.412,0.402,0.519,0.620,,,,,
docks,0.54,0.78,3.67,5.37,0.635,0.448,0.384,0.828,,,,,
doers,0.61,1.33,3.05,6.05,0.718,0.764,0.097,0.933,,,,,
doled,0.55,0.83,3.62,5.15,0.647,0.477,0.361,0.793,,,,,
dooms,0.6,0.58,3.82,4.89,0.706,0.333,0.454,0.753,,,,,
doped,0.51,0.72,3.77,4.86,0.600,0.414,0.431,0.748,,,,,
douce,0.45,0.99,3.56,5.3,0.529,0.569,0.333,0.817,,,,,
doves,0.7,0.95,3.35,5.67,0.824,0.546,0.236,0.874,,,,,
dower,0.49,1.03,3.49,5.51,0.576,0.592,0.301,0.849,,,,,
draco,0.33,1.17,3.5,5.2,0.388,0.672,0.306,0.801,,,,,
dries,0.72,1.17,3.11,6.14,0.847,0.672,0.125,0.947,,,,,
drips,0.55,0.94,3.51,5.53,0.647,0.540,0.310,0.852,,,,,
duces,0.62,0.99,3.38,5.65,0.729,0.569,0.250,0.871,,,,,
duels,0.54,1.19,3.27,5.73,0.635,0.684,0.199,0.884,,,,,
duets,0.55,1.16,3.29,5.73,0.647,0.667,0.208,0.884,,,,,
dulls,0.53,0.65,3.82,4.89,0.624,0.374,0.454,0.753,,,,,
dumas,0.49,0.95,3.56,5.57,0.576,0.546,0.333,0.859,,,,,
dumps,0.46,0.71,3.83,5.13,0.541,0.408,0.458,0.790,,,,,
duped,0.43,0.64,3.93,4.51,0.506,0.368,0.505,0.694,,,,,
dusts,0.52,0.65,3.84,4.81,0.612,0.374,0.463,0.741,,,,,
eared,0.55,0.97,3.47,5.27,0.647,0.557,0.292,0.812,,,,,
egged,0.33,0.54,4.13,3.38,0.388,0.310,0.597,0.519,,,,,
exits,0.47,1.16,3.37,5.08,0.553,0.667,0.245,0.783,,,,,
faery,0.47,1.08,3.45,5.35,0.553,0.621,0.282,0.825,,,,,
fairs,0.66,0.99,3.35,5.82,0.776,0.569,0.236,0.898,,,,,
faker,0.51,1.01,3.49,5.36,0.600,0.580,0.301,0.826,,,,,
fames,0.73,0.98,3.29,5.81,0.859,0.563,0.208,0.896,,,,,
fatso,0.35,1.29,3.36,5.18,0.412,0.741,0.241,0.798,,,,,
feare,0.49,0.93,3.58,4.89,0.576,0.534,0.343,0.753,,,,,
ferns,0.61,1.13,3.26,5.73,0.718,0.649,0.194,0.884,,,,,
fetes,0.7,0.74,3.56,5.02,0.824,0.425,0.333,0.773,,,,,
fiats,0.63,0.95,3.42,5.71,0.741,0.546,0.269,0.880,,,,,
fiche,0.34,0.92,3.74,4.67,0.400,0.529,0.417,0.719,,,,,
fitch,0.3,0.69,4.01,4.49,0.353,0.397,0.542,0.691,,,,,
flaws,0.53,0.87,3.6,5.12,0.624,0.500,0.352,0.789,,,,,
flees,0.68,0.78,3.55,4.98,0.800,0.448,0.329,0.767,,,,,
flips,0.53,0.79,3.67,5.18,0.624,0.454,0.384,0.798,,,,,
floes,0.69,1.09,3.22,5.78,0.812,0.626,0.176,0.891,,,,,
flops,0.52,0.86,3.62,5.24,0.612,0.494,0.361,0.807,,,,,
foals,0.68,0.98,3.35,5.75,0.800,0.563,0.236,0.887,,,,,
foley,0.59,0.82,3.6,5.42,0.694,0.471,0.352,0.835,,,,,
fonds,0.6,0.77,3.63,5.44,0.706,0.443,0.366,0.839,,,,,
fours,0.61,0.85,3.55,5.54,0.718,0.489,0.329,0.854,,,,,
franc,0.36,0.93,3.71,4.86,0.424,0.534,0.403,0.748,,,,,
frise,0.45,1.34,3.22,5.6,0.529,0.770,0.176,0.863,,,,,
frist,0.39,1.13,3.49,5.36,0.459,0.649,0.301,0.826,,,,,
frogs,0.55,0.86,3.59,5.26,0.647,0.494,0.347,0.811,,,,,
fucks,0.47,0.58,3.95,4.83,0.553,0.333,0.514,0.744,,,,,
fuels,0.56,1.07,3.38,5.49,0.659,0.615,0.250,0.846,,,,,
fumed,0.45,0.71,3.85,4.89,0.529,0.408,0.468,0.753,,,,,
fusty,0.36,0.82,3.82,5.07,0.424,0.471,0.454,0.781,,,,,
