word,avg_green,avg_yellow,avg_grey,entropy,avg_green_scaled,avg_yellow_scaled,avg_grey_scaled,entropy_scaled,TYPE,GREEN,YELLOW,GREY,ENTROPY
saran,0.49,1.03,3.49,5.27,0.576,0.592,0.301,0.812,,,,,
saver,0.59,1.3,3.11,5.84,0.694,0.747,0.125,0.901,,,,,
sayed,0.59,1.22,3.19,5.88,0.694,0.701,0.162,0.907,,,,,
scala,0.36,1.05,3.58,4.74,0.424,0.603,0.343,0.730,,,,,
scops,0.54,0.64,3.83,4.66,0.635,0.368,0.458,0.717,,,,,
scrim,0.3,1.16,3.54,5.11,0.353,0.667,0.324,0.787,,,,,
scuff,0.23,0.73,4.04,3.69,0.271,0.420,0.556,0.567,,,,,
seers,0.66,0.75,3.59,4.74,0.776,0.431,0.347,0.730,,,,,
selle,0.53,0.83,3.64,4.5,0.624,0.477,0.370,0.693,,,,,
serfs,0.62,0.89,3.49,5,0.729,0.511,0.301,0.770,,,,,
serra,0.43,1.41,3.17,5.38,0.506,0.810,0.153,0.829,,,,,
seton,0.39,1.52,3.1,5.76,0.459,0.874,0.120,0.888,,,,,
sewed,0.55,0.79,3.66,4.77,0.647,0.454,0.380,0.734,,,,,
shams,0.6,0.61,3.79,4.86,0.706,0.351,0.440,0.748,,,,,
shies,0.76,0.72,3.52,5.24,0.894,0.414,0.315,0.807,,,,,
shill,0.4,0.83,3.77,4.7,0.471,0.477,0.431,0.724,,,,,
shims,0.59,0.48,3.93,4.69,0.694,0.276,0.505,0.722,,,,,
shish,0.38,0.55,4.07,3.82,0.447,0.316,0.569,0.587,,,,,
shoji,0.28,0.99,3.73,4.51,0.329,0.569,0.412,0.694,,,,,
shute,0.46,1.2,3.35,5.55,0.541,0.690,0.236,0.856,,,,,
shuts,0.59,0.51,3.9,4.78,0.694,0.293,0.491,0.736,,,,,
sided,0.55,0.99,3.46,5.2,0.647,0.569,0.287,0.801,,,,,
sidle,0.48,1.36,3.16,5.77,0.565,0.782,0.148,0.890,,,,,
sighs,0.55,0.5,3.95,4.49,0.647,0.287,0.514,0.691,,,,,
simba,0.31,1.16,3.53,5.17,0.365,0.667,0.319,0.797,,,,,
sinus,0.6,0.58,3.82,5,0.706,0.333,0.454,0.770,,,,,
skids,0.55,0.53,3.92,4.56,0.647,0.305,0.500,0.702,,,,,
skips,0.54,0.48,3.97,4.53,0.635,0.276,0.523,0.697,,,,,
skits,0.59,0.57,3.84,4.82,0.694,0.328,0.463,0.742,,,,,
slaps,0.63,0.75,3.62,5.16,0.741,0.431,0.361,0.795,,,,,
slats,0.67,0.84,3.49,5.4,0.788,0.483,0.301,0.832,,,,,
snags,0.58,0.7,3.72,4.86,0.682,0.402,0.407,0.748,,,,,
sneed,0.52,0.98,3.51,4.97,0.612,0.563,0.310,0.766,,,,,
snick,0.35,0.95,3.7,4.97,0.412,0.546,0.398,0.766,,,,,
